dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.053487,2.664066,2.447740,2.972739,-1.751062,-49.718660,5.379135
0.020000,4.088644,2.616623,2.506797,2.932965,-1.988746,-11.884210,5.321858
0.020000,4.120718,2.567993,2.565059,2.893190,-1.988746,0.000000,5.269780
0.020000,4.149944,2.518520,2.622525,2.853415,-1.988746,-0.000000,5.222941
0.020000,4.176578,2.468503,2.679195,2.813640,-1.988746,0.000000,5.181193
0.020000,4.200880,2.418194,2.735071,2.773865,-1.988746,-0.000000,5.144265
0.020000,4.223104,2.367799,2.790150,2.734090,-1.988746,-0.000000,5.111824
0.020000,4.243489,2.317490,2.844434,2.694315,-1.988746,0.000000,5.083510
0.020000,4.262260,2.267405,2.897923,2.654540,-1.988746,-0.000000,5.058968
0.020000,4.279623,2.217655,2.950616,2.614765,-1.988746,0.000000,5.037860
0.020000,4.295763,2.168332,3.002513,2.574990,-1.988746,-0.000000,5.019878
0.020000,4.310851,2.119509,3.053615,2.535215,-1.988746,0.000000,5.004743
0.020000,4.325038,2.071244,3.103922,2.495440,-1.988746,0.000000,4.992209
0.020000,4.338462,2.023588,3.153433,2.455665,-1.988746,-0.000000,4.982058
0.020000,4.351246,1.976580,3.202149,2.415890,-1.988746,0.000000,4.974104
0.020000,4.363500,1.930253,3.250069,2.376116,-1.988746,0.000000,4.968181
0.020000,4.375325,1.884636,3.297193,2.336341,-1.988746,0.000000,4.964151
0.020000,4.386809,1.839753,3.343522,2.296566,-1.988746,0.000000,4.961891
0.020000,4.398033,1.795625,3.389056,2.256791,-1.988746,-0.000000,4.961299
0.020000,4.409070,1.752269,3.433794,2.217016,-1.988746,0.000000,4.962284
0.020000,4.419984,1.709704,3.477736,2.177241,-1.988746,0.000000,4.964771
0.020000,4.430836,1.667943,3.520883,2.137466,-1.988746,0.000000,4.968695
0.020000,4.441676,1.627003,3.563235,2.097691,-1.988746,0.000000,4.973999
0.020000,4.452552,1.586895,3.604791,2.057916,-1.988746,0.000000,4.980635
0.020000,4.463506,1.547634,3.645552,2.018141,-1.988746,0.000000,4.988559
0.020000,4.474575,1.509233,3.685517,1.978366,-1.988746,-0.000000,4.997735
0.020000,4.485792,1.471704,3.724686,1.938591,-1.988746,0.000000,5.008127
0.020000,4.497184,1.435060,3.763060,1.898816,-1.988746,-0.000000,5.019704
0.020000,4.508775,1.399314,3.800639,1.859042,-1.988746,0.000000,5.032433
0.020000,4.520584,1.364478,3.837422,1.819267,-1.988746,-0.000000,5.046283
0.020000,4.532628,1.330566,3.873410,1.779492,-1.988746,0.000000,5.061219
0.020000,4.544916,1.297590,3.908602,1.739717,-1.988746,0.000000,5.077207
0.020000,4.557457,1.265561,3.942998,1.699942,-1.988746,-0.000000,5.094207
0.020000,4.570253,1.234492,3.976599,1.660167,-1.988746,0.000000,5.112174
0.020000,4.583303,1.204395,4.009405,1.620392,-1.988746,0.000000,5.131060
0.020000,4.596601,1.175278,4.041415,1.580617,-1.988746,-0.000000,5.150806
0.020000,4.610138,1.147152,4.072630,1.540842,-1.988746,0.000000,5.171352
0.020000,4.623901,1.120025,4.103049,1.501067,-1.988746,-0.000000,5.192628
0.020000,4.637871,1.093903,4.132672,1.461292,-1.988746,0.000000,5.214555
0.020000,4.652027,1.068791,4.161500,1.421517,-1.988746,-0.000000,5.237050
0.020000,4.666345,1.044691,4.189533,1.381742,-1.988746,0.000000,5.260022
0.020000,4.680794,1.021604,4.216770,1.341967,-1.988746,-0.000000,5.283374
0.020000,4.695345,0.999526,4.243212,1.302193,-1.988746,-0.000000,5.307006
0.020000,4.709962,0.978454,4.268858,1.262418,-1.988746,0.000000,5.330811
0.020000,4.724608,0.958379,4.293708,1.222643,-1.988746,0.000000,5.354684
0.020000,4.739245,0.939290,4.317764,1.182868,-1.988746,0.000000,5.378518
0.020000,4.753832,0.921174,4.341023,1.143093,-1.988746,0.000000,5.402206
0.020000,4.768329,0.904015,4.363487,1.103318,-1.988746,0.000000,5.425647
0.020000,4.782694,0.887793,4.385156,1.063543,-1.988746,0.000000,5.448742
0.020000,4.796886,0.872487,4.406029,1.023768,-1.988746,0.000000,5.471398
0.020000,4.810863,0.858074,4.426107,0.983993,-1.988746,-0.000000,5.493531
0.020000,4.824585,0.844529,4.445389,0.944218,-1.988746,0.000000,5.515063
0.020000,4.838014,0.831824,4.463875,0.904443,-1.988746,0.000000,5.535925
0.020000,4.851111,0.819932,4.481566,0.864668,-1.988746,0.000000,5.556056
0.020000,4.863842,0.808824,4.498462,0.824893,-1.988746,-0.000000,5.575404
0.020000,4.876171,0.798470,4.514562,0.785118,-1.988746,0.000000,5.593926
0.020000,4.888067,0.788842,4.529867,0.745344,-1.988746,-0.000000,5.611586
0.020000,4.899500,0.779909,4.544376,0.705569,-1.988746,-0.000000,5.628356
0.020000,4.910443,0.771644,4.558090,0.665794,-1.988746,0.000000,5.644213
0.020000,4.920869,0.764018,4.571008,0.626019,-1.988746,-0.000000,5.659143
0.020000,4.930756,0.757003,4.583130,0.586244,-1.988746,0.000000,5.673135
0.020000,4.940082,0.750574,4.594457,0.546469,-1.988746,0.000000,5.686183
0.020000,4.948828,0.744707,4.604989,0.506694,-1.988746,-0.000000,5.698284
0.020000,4.956975,0.739377,4.614725,0.466919,-1.988746,0.000000,5.709440
0.020000,4.964509,0.734563,4.623666,0.427144,-1.988746,-0.000000,5.719653
0.020000,4.971415,0.730243,4.631811,0.387369,-1.988746,0.000000,5.728928
0.020000,4.977680,0.726402,4.639161,0.347594,-1.988746,-0.000000,5.737270
0.020000,4.983294,0.723019,4.645715,0.307819,-1.988746,0.000000,5.744687
0.020000,4.988247,0.720082,4.651473,0.268044,-1.988746,0.000000,5.751184
0.020000,4.992532,0.717577,4.656436,0.228269,-1.988746,-0.000000,5.756769
0.020000,4.996140,0.715491,4.660604,0.188495,-1.988746,0.000000,5.761447
0.020000,4.999067,0.713816,4.663976,0.148720,-1.988746,-0.000000,5.765224
0.020000,5.001307,0.712543,4.666553,0.108945,-1.988746,0.000000,5.768106
0.020000,5.002858,0.711668,4.668334,0.069170,-1.988746,-0.000000,5.770095
0.020000,5.003717,0.711184,4.669320,0.029395,-1.988746,0.000000,5.771195
0.020000,5.004015,0.711017,4.669661,0.004754,-1.232057,37.834449,5.771576
0.020000,5.004057,0.710994,4.669709,0.000000,-0.237684,49.718660,5.771629
0.020000,5.004057,0.710994,4.669709,0.000000,0.000000,11.884210,5.771629
