dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.297042,2.961655,2.694617,4.263262,-2.082768,-157.557110,5.441260
0.020000,4.350534,2.897833,2.777892,4.163737,-4.976268,-144.675020,5.379135
0.020000,4.398586,2.833003,2.858589,4.034836,-6.445051,-73.439125,5.321858
0.020000,4.441503,2.767945,2.936527,3.896900,-6.896814,-22.588189,5.269780
0.020000,4.479740,2.703233,3.011691,3.758202,-6.934887,-1.903647,5.222941
0.020000,4.513796,2.639291,3.084137,3.622311,-6.794554,7.016679,5.181193
0.020000,4.544173,2.576415,3.153967,3.491482,-6.541454,12.655008,5.144265
0.020000,4.571348,2.514802,3.221306,3.366977,-6.225262,15.809561,5.111824
0.020000,4.595756,2.454576,3.286291,3.249227,-5.887497,16.888292,5.083510
0.020000,4.617785,2.395805,3.349055,3.138197,-5.551459,16.801868,5.058968
0.020000,4.637778,2.338523,3.409725,3.033524,-5.233649,15.890488,5.037860
0.020000,4.656034,2.282740,3.468419,2.934702,-4.941121,14.626420,5.019878
0.020000,4.672811,2.228451,3.525242,2.841127,-4.678760,13.118027,5.004743
0.020000,4.688336,2.175641,3.580286,2.752213,-4.445671,11.654496,4.992209
0.020000,4.702801,2.124292,3.633634,2.667384,-4.241452,10.210927,4.982058
0.020000,4.716374,2.074383,3.685356,2.586117,-4.063384,8.903397,4.974104
0.020000,4.729201,2.025892,3.735515,2.507931,-3.909274,7.705495,4.968181
0.020000,4.741408,1.978800,3.784163,2.432403,-3.776432,6.642096,4.964151
0.020000,4.753104,1.933090,3.831346,2.359162,-3.662033,5.719944,4.961891
0.020000,4.764384,1.888744,3.877104,2.287881,-3.564026,4.900358,4.961299
0.020000,4.775328,1.845749,3.921469,2.218282,-3.479949,4.203878,4.962284
0.020000,4.786009,1.804095,3.964472,2.150121,-3.408056,3.594608,4.964771
0.020000,4.796487,1.763770,4.006136,2.083195,-3.346334,3.086139,4.968695
0.020000,4.806814,1.724767,4.046482,2.017331,-3.293174,2.658004,4.973999
0.020000,4.817034,1.687080,4.085530,1.952389,-3.247110,2.303187,4.980635
0.020000,4.827182,1.650705,4.123295,1.888249,-3.206979,2.006548,4.988559
0.020000,4.837290,1.615636,4.159791,1.824824,-3.171283,1.784781,4.997735
0.020000,4.847382,1.581870,4.195032,1.762052,-3.138571,1.635631,5.008127
0.020000,4.857474,1.549405,4.229030,1.699900,-3.107615,1.547764,5.019704
0.020000,4.867580,1.518236,4.261797,1.638345,-3.077760,1.492782,5.032433
0.020000,4.877709,1.488358,4.293345,1.577385,-3.047966,1.489703,5.046283
0.020000,4.887862,1.459766,4.323686,1.517060,-3.016281,1.584249,5.061219
0.020000,4.898040,1.432452,4.352834,1.457410,-2.982489,1.689598,5.077207
0.020000,4.908237,1.406407,4.380805,1.398516,-2.944697,1.889569,5.094207
0.020000,4.918446,1.381618,4.407614,1.340458,-2.902889,2.090412,5.112174
0.020000,4.928655,1.358069,4.433281,1.283334,-2.856239,2.332526,5.131060
0.020000,4.938852,1.335742,4.457826,1.227265,-2.803418,2.641052,5.150806
0.020000,4.949020,1.314614,4.481274,1.172385,-2.744034,2.969178,5.171352
0.020000,4.959143,1.294658,4.503650,1.118832,-2.677610,3.321182,5.192628
0.020000,4.969204,1.275844,4.524985,1.066738,-2.604742,3.643436,5.214555
0.020000,4.979184,1.258139,4.545310,1.016228,-2.525494,3.962370,5.237050
0.020000,4.989066,1.241504,4.564658,0.967437,-2.439517,4.298840,5.260022
0.020000,4.998832,1.225898,4.583068,0.920473,-2.348225,4.564633,5.283374
0.020000,5.008466,1.211279,4.600576,0.875426,-2.252352,4.793641,5.307006
0.020000,5.017954,1.197600,4.617223,0.832357,-2.153448,4.945198,5.330811
0.020000,5.027281,1.184814,4.633050,0.791309,-2.052404,5.052184,5.354684
0.020000,5.036436,1.172874,4.648095,0.752280,-1.951422,5.049122,5.378518
0.020000,5.045407,1.161732,4.662400,0.715250,-1.851520,4.995084,5.402206
0.020000,5.054186,1.151341,4.676003,0.680160,-1.754477,4.852171,5.425647
0.020000,5.062763,1.141654,4.688942,0.646924,-1.661810,4.633322,5.448742
0.020000,5.071132,1.132628,4.701251,0.615433,-1.574574,4.361809,5.471398
0.020000,5.079285,1.124221,4.712962,0.585553,-1.493970,4.030193,5.493531
0.020000,5.087214,1.116393,4.724104,0.557137,-1.420813,3.657850,5.515063
0.020000,5.094915,1.109107,4.734705,0.530030,-1.355326,3.274356,5.535925
0.020000,5.102378,1.102330,4.744786,0.504070,-1.298028,2.864906,5.556056
0.020000,5.109598,1.096030,4.754368,0.479093,-1.248845,2.459129,5.575404
0.020000,5.116566,1.090179,4.763467,0.454933,-1.208023,2.041125,5.593926
0.020000,5.123273,1.084750,4.772096,0.431453,-1.173991,1.701600,5.611586
0.020000,5.129711,1.079720,4.780266,0.408512,-1.147051,1.346979,5.628356
0.020000,5.135871,1.075068,4.787985,0.385960,-1.127595,0.972836,5.644213
0.020000,5.141743,1.070773,4.795260,0.363725,-1.111754,0.792045,5.659143
0.020000,5.147316,1.066819,4.802093,0.341678,-1.102359,0.469719,5.673135
0.020000,5.152581,1.063190,4.808488,0.319750,-1.096357,0.300139,5.686183
0.020000,5.157528,1.059871,4.814445,0.297853,-1.094888,0.073420,5.698284
0.020000,5.162147,1.056849,4.819965,0.275959,-1.094689,0.009943,5.709440
0.020000,5.166427,1.054114,4.825045,0.254001,-1.097881,-0.159563,5.719653
0.020000,5.170361,1.051654,4.829684,0.231970,-1.101560,-0.183989,5.728928
0.020000,5.173938,1.049460,4.833880,0.209800,-1.108476,-0.345795,5.737270
0.020000,5.177151,1.047525,4.837631,0.187536,-1.113231,-0.237738,5.744687
0.020000,5.179991,1.045840,4.840934,0.165138,-1.119876,-0.332262,5.751184
0.020000,5.182454,1.044400,4.843786,0.142615,-1.126173,-0.314819,5.756769
0.020000,5.184531,1.043200,4.846185,0.119965,-1.132511,-0.316909,5.761447
0.020000,5.186218,1.042234,4.848129,0.097212,-1.137649,-0.256893,5.765224
0.020000,5.187512,1.041499,4.849617,0.074382,-1.141494,-0.192247,5.768106
0.020000,5.188408,1.040993,4.850646,0.051443,-1.146962,-0.273429,5.770095
0.020000,5.188904,1.040714,4.851216,0.028501,-1.147056,-0.004671,5.771195
0.020000,5.189077,1.040617,4.851413,0.009880,-0.931058,10.799898,5.771576
0.020000,5.189101,1.040603,4.851441,0.001376,-0.425233,25.291237,5.771629
0.020000,5.189101,1.040603,4.851441,0.000000,-0.068782,17.822569,5.771629
