dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.756440,2.430298,2.105300,1.815796,2.475731,7.574360,5.379135
0.020000,3.778702,2.400244,2.142701,1.870054,2.712912,11.859056,5.321858
0.020000,3.799933,2.368041,2.181273,1.928585,2.926559,10.682326,5.269780
0.020000,3.820149,2.333807,2.221030,1.987871,2.964274,1.885757,5.222941
0.020000,3.839361,2.297715,2.261917,2.044337,2.823329,-7.047225,5.181193
0.020000,3.857588,2.259972,2.303831,2.095695,2.567865,-12.773234,5.144265
0.020000,3.874860,2.220796,2.346645,2.140739,2.252233,-15.781566,5.111824
0.020000,3.891223,2.180404,2.390225,2.178997,1.912864,-16.968439,5.083510
0.020000,3.906736,2.139005,2.434436,2.210526,1.576477,-16.819392,5.058968
0.020000,3.921468,2.096788,2.479149,2.235680,1.257680,-15.939830,5.037860
0.020000,3.935493,2.053924,2.524249,2.254989,0.965455,-14.611249,5.019878
0.020000,3.948890,2.010566,2.569630,2.269031,0.702108,-13.167331,5.004743
0.020000,3.961740,1.966847,2.615198,2.278413,0.469089,-11.650976,4.992209
0.020000,3.974123,1.922884,2.660872,2.283701,0.264435,-10.232697,4.982058
0.020000,3.986117,1.878777,2.706581,2.285430,0.086414,-8.901071,4.974104
0.020000,3.997799,1.834615,2.752262,2.284073,-0.067850,-7.713170,4.968181
0.020000,4.009241,1.790472,2.797863,2.280053,-0.200978,-6.656429,4.964151
0.020000,4.020513,1.746417,2.843338,2.273747,-0.315287,-5.715404,4.961891
0.020000,4.031682,1.702505,2.888648,2.265478,-0.413484,-4.909896,4.961299
0.020000,4.042811,1.658789,2.933758,2.255528,-0.497506,-4.201100,4.962284
0.020000,4.053959,1.615313,2.978641,2.244136,-0.569587,-3.604040,4.964771
0.020000,4.065184,1.572117,3.023271,2.231509,-0.631317,-3.086514,4.968695
0.020000,4.076537,1.529238,3.067628,2.217822,-0.684363,-2.652300,4.973999
0.020000,4.088070,1.486710,3.111692,2.203217,-0.730263,-2.294987,4.980635
0.020000,4.099830,1.444564,3.155448,2.187803,-0.770675,-2.020602,4.988559
0.020000,4.111860,1.402830,3.198881,2.171669,-0.806708,-1.801629,4.997735
0.020000,4.124202,1.361537,3.241979,2.154882,-0.839344,-1.631792,5.008127
0.020000,4.136893,1.320715,3.284729,2.137488,-0.869699,-1.517760,5.019704
0.020000,4.149969,1.280392,3.327119,2.119498,-0.899536,-1.491862,5.032433
0.020000,4.163460,1.240599,3.369137,2.100895,-0.930140,-1.530210,5.046283
0.020000,4.177393,1.201366,3.410770,2.081665,-0.961477,-1.566823,5.061219
0.020000,4.191793,1.162727,3.452005,2.061751,-0.995700,-1.711168,5.077207
0.020000,4.206677,1.124715,3.492827,2.041100,-1.032565,-1.843258,5.094207
0.020000,4.222061,1.087367,3.533219,2.019615,-1.074269,-2.085172,5.112174
0.020000,4.237951,1.050720,3.573163,1.997180,-1.121731,-2.373088,5.131060
0.020000,4.254351,1.014814,3.612637,1.973686,-1.174716,-2.649272,5.150806
0.020000,4.271257,0.979691,3.651617,1.949007,-1.233926,-2.960507,5.171352
0.020000,4.288658,0.945393,3.690077,1.923019,-1.299391,-3.273249,5.192628
0.020000,4.306538,0.911962,3.727989,1.895572,-1.372355,-3.648217,5.214555
0.020000,4.324871,0.879444,3.765319,1.866521,-1.452561,-4.010294,5.237050
0.020000,4.343624,0.847879,3.802034,1.835759,-1.538094,-4.276612,5.260022
0.020000,4.362757,0.817309,3.838098,1.803171,-1.629407,-4.565695,5.283374
0.020000,4.382224,0.787774,3.873471,1.768671,-1.725000,-4.779648,5.307006
0.020000,4.401969,0.759309,3.908115,1.732186,-1.824264,-4.963164,5.330811
0.020000,4.421934,0.731944,3.941989,1.693692,-1.924695,-5.021572,5.354684
0.020000,4.442054,0.705706,3.975052,1.653169,-2.026144,-5.072466,5.378518
